stable_id,title_zh,abstract_zh
54e4a87a43b3815b,北太平洋融水削弱了大西洋经向翻转环流并为 Heinrich Stadial 1 奠定了先决条件,Heinrich Stadials 提供了有关大西洋经向翻转环流 (AMOC) 未来可能减弱的见解，但在这些时间间隔内驱动 AMOC 减弱的机制仍然难以捉摸。虽然海因里希·斯塔迪亚尔斯与北大西洋的冰山放电事件（即海因里希事件）有关，但已知 AMOC 减弱先于海因里希事件。在这里，我们进行了淡水冲洗实验，以表明同期东北太平洋冰山排放事件（即 Siku 事件）持续发生在 Heinrich Stadials 爆发时，可能会通过将淡水输送到北大西洋深水形成区域来引发 AMOC 减弱。这种最初的减弱随后可能会因北大西洋东北部和北部的地下逐步变暖而引起的英国和劳伦太德冰原的进一步融水释放而放大。我们的研究结果表明，Siku 事件可能在北大西洋海因里希事件的预处理中发挥了关键作用，强调了全球海洋-冰冻圈系统相互关联的性质。
141d774ae28e6fab,形态发生机械超材料：自组织结构中出现的张量特性,了解生物体如何自发地形成复杂的功能结构激发了工程设计的新策略。在这里，我们引入了一种基于形态发生的分散生成模型，可以自主生长具有受控张量属性的机械结构。通过各向异性扩散采用图灵的反应扩散概念，我们的方法能够局部出现表现出定制刚度和各向异性的微结构，无需伴随或拓扑优化循环即可实现目标正交各向异性张量。这些结构的合成依赖于将形态发生参数与通过均质化技术获得的有效弹性张量联系起来的数据库。我们通过机械隐身示例实验证明了这一概念，验证了我们的方法独立控制局部各向异性和刚度的能力，并有效隐藏机械场中的结构缺陷。这种方法规避了拓扑优化所需的迭代全局求解，同时保留了对跨大型设计域的各向异性和刚度的局部控制。
86de0c4f1542a0ee,基于耗散回音壁模式微腔传感器的亚十亿分之一二氧化碳检测,由于其超高的光学限制，回音壁模式微腔提供了强烈的光-物质相互作用，但微小的气体折射率变化限制了它们感测痕量气体的能力。在这里，我们展示了可以在非功能化回音壁模式微腔中使用耗散传感机制来检测气体吸收。我们的方法不是跟踪传统色散传感中使用的谐振频移，而是通过热诱导耗散将光学吸收转换为谐振深度的变化。在百万分之1.5至400的浓度范围内实现了二氧化碳的定量检测，相关系数超过0.99。该传感器在 400 秒的积分时间内达到了万亿分之 168 的检测极限，精度约为 0.4%。连续监测进一步证明了在环境条件下的稳定运行。这些结果表明耗散微腔传感是一种有前途的紧凑、低成本和高灵敏度痕量气体检测方法。
3dd339c65c5428df,通过电网现代化缓解能源贫困：中国特高压输电项目的微观证据,
6964abcac36a8105,数字孪生驱动的深度强化学习分布式储能集群协调调度与状态预测,
20118cdd93d3b0ef,剪接修饰化合物的特异性和外显子靶空间,剪接调节是一种既定的治疗策略，具有临床应用和靶向特定外显子以影响基因表达的潜力。小分子剪接修饰剂（例如 Risdiplam 和 Branaplam）会诱导包含通常由于较弱的 {5}^{{\prime} } 剪接位点而被跳过的外显子。 Risdiplam 优先在 {3}^{{\prime} } 外显子末端诱导具有 N−3G−2A−1 序列的外显子，而 Branaplam 则倾向于 A−3G−2A−1 结尾的外显子。然而，特异性的决定因素仍不清楚，因为许多基序匹配的外显子未被诱导。在这里，我们研究了剪接调节剂特异性的分子基础。使用生化测定、转录组分析和遗传扰动，我们确定了决定外显子对剪接调节剂诱导的反应性的序列依赖性特征。我们进一步证明，可以通过操纵 U1 snRNA 来重新编程特异性。这些发现完善了剪接调节剂靶空间的决定因素，并可能支持其他靶外显子和化合物的鉴定。
751022b6cde553c1,BZR1-BLH1-PIF4 反馈模块充当拟南芥中精确热形态发生的分子放大器,全球气温升高的强度和频率的增加正在威胁生态系统的稳定性和作物产量。了解植物热形态发生对于开发气候适应型作物至关重要，但其潜在机制仍有待阐明。在这里，我们将 BEL1-LIKE HOMEODOMAIN 转录因子 BLH1 确定为热形态发生的关键负调节因子，调节关键的BRASSINAZOLE-RESISTANT 1 (BZR1)-PHYTOCHROME INTERACTING FACTOR 4 (PIF4)热形态发生调节模块。 BLH1 或其同源物的过度表达会导致高温 (HT) 不敏感，而 blh 高阶突变体则表现出 HT 超敏性。 BLH1 表达受 BZR1 直接抑制，并受 HT 下调。我们进一步证明BLH1直接结合PIF4启动子以抑制其转录，同时与PIF4蛋白相互作用以抑制其活性。 BLH1 的过表达可挽救 bzr1-1D 或 PIF4 过表达植物中伸长的下胚轴表型。我们的研究结果定义了 BZR1-BLH1-PIF4 调节轴，该轴调节 BZR1-PIF4-生长素-BR-BZR1 正反馈环，确保对 HT 的平衡热形态发生反应。
8fd8cd59a1514002,CSF1R 调节单核细胞亚群分化和细胞内代谢,单核细胞是血管稳态、先天免疫和炎症的关键循环效应器。在小鼠骨髓中产生后，经典 (Ly6Chigh) 单核细胞被动员到血液循环中，在那里它们成熟为非经典 (Ly6Clow) 巡逻单核细胞，或者被招募到外周组织中，在那里它们分化为组织驻留或炎症巨噬细胞。单核细胞和巨噬细胞表达 CSF1R (CD115)，即谱系特异性生长因子 CSF1 和 IL-34 的受体。在这里，我们报告说，急性 CSF1R 阻断或基因缺失会负面干扰单核细胞的细胞内代谢，并部分通过削弱 Ly6Chigh 单核细胞的分化来减少血液 Ly6Clow 单核细胞。基于谷氨酰胺-果糖-6-磷酸转氨酶 1 (GFPT1) 的谱系特异性缺失，己糖胺生物合成途径 (HBP) 被确定为 CSF1R 表达和单核细胞亚群的重要调节因子。抑制受体酪氨酸激酶 CSF1R 和 FLT3 重新连接并部分损害人类单核细胞的代谢活动。我们的研究结果提供了对 CSF1R 信号传导、代谢调节以及单核细胞存活和分化之间联系的见解。
19b34f4afe3a1af6,非洲马瘟病毒 VP2 受体结合蛋白的冷冻电镜结构使纳米颗粒疫苗设计成为可能,非洲马瘟病毒（AHSV）是一种致命的马病原体，除了含有减毒病毒的疫苗外，没有获得许可的疫苗，存在安全风险。 AHSV 是撒哈拉以南非洲地区的流行病，已在西班牙、葡萄牙、塞浦路斯、摩洛哥、中东、印度和巴基斯坦以及最近的泰国引发动物流行。在这里，我们解析了 AHSV 血清型 4 的全长 VP2 的 3.11 Å 冷冻电镜结构，采用其天然的 triskelion 结构，并揭示了锚定 triskelion 核心的 α 螺旋结构域，这在其他结构特征的环状病毒中是不存在的。结构引导映射将 VP2 的一个子结构域确定为中和抗体的关键靶点。该结构域利用 SpyCatcher/SpyTag 技术显示在纳米颗粒上，为小鼠在病毒攻击感染后提供了针对临床疾病的完全保护，并在 AHSV 的目标物种马中引发了强大而持久的免疫反应。这些发现为下一代针对 AHSV 和相关环状病毒的重组疫苗提供了结构蓝图。
b31595dfdd2c9cda,通过谷氨酰胺拮抗作用重编程巨噬细胞免疫代谢可增强小鼠结直肠癌治疗,结直肠癌 (CRC) 通常表现出抑制性肿瘤微环境，该微环境与谷氨酰胺代谢升高和免疫抑制巨噬细胞的诱导有关。谷氨酰胺拮抗剂，如 6-重氮-5-氧代-L-正亮氨酸 (DON) 及其前药 JHU-083 可以限制肿瘤生长，但其毒性和免疫细胞选择性仍然不理想。在这里，我们将 DON 与巨噬细胞靶向部分青蒿酯结合，开发出 WGF-T17 (T17)，它可以阻断巨噬细胞中的谷氨酰胺代谢。在体外，T17 将巨噬细胞代谢重新连接至糖酵解，诱导乳酸积累和组蛋白乳酸化，增强线粒体裂变和吞噬细胞活性，从而将巨噬细胞重新编程为炎症状态。在体内，T17 通过巨噬细胞依赖性途径比 JHU-083 更好地控制肿瘤生长，并且还提高了携带皮下 CRC 肿瘤的雌性小鼠的免疫治疗、化疗和抗血管生成治疗的疗效。因此，我们的研究结果表明，T17 通过靶向巨噬细胞谷氨酰胺代谢来逆转免疫抑制，是一种有前途的 CRC 治疗策略。
