stable_id,title_zh,abstract_zh
deedd3600cd60df8,限制物理缠结使得纳米晶超晶格的可编程聚合物介孔膜成为可能,由于难以同时实现结构有序和机械稳定性，具有可调结构和强大机械性能的介孔膜的制造仍然具有挑战性。我们报告了一种通过利用聚合物接枝纳米晶体（NC）超晶格内的有限物理缠结来构建可编程聚合物介孔膜的总体策略。二维超晶格由尺寸、形状和成分受控的 NC 在液-气界面自组装而成，可用作结构模板，热退火可激活聚合物缠结以稳定超晶格框架。随后选择性去除 NC 核，产生独立的、长程有序的聚合物介孔膜，该膜表现出显着的比模量和可变形性。重要的是，这种方法可以独立控制孔径、壁厚和孔对称性，提供超越传统模板方法的精确结构可编程性。该策略与各种构建模块和二元超晶格配置兼容，从而能够合理设计具有分层结构顺序的机械坚固的介孔膜。
966eb48ba0fa01bf,通过热再生电化学循环利用低品位热能：关键见解、性能优化策略和跨领域应用,
7933da7dbf6c80c5,货币社会互惠对中国农村家庭能源贫困减少的积极作用,
8c335dd2bef1a31e,CryoWriter：用于改进 Cryo-EM 网格准备的机器人解决方案,冷冻电子显微镜 (cryo-EM) 结构测定依赖于在 EM 网格上制备样品溶液的玻璃薄膜。冷冻电镜是一项成熟的技术，但准备网格仍然是一个主要瓶颈。在这里，我们评估了 CryoWriter，这是一种无印迹的微流体网格制备机器人，可在受控环境中将纳升体积写入 EM 网格上。使用螺旋或线条模式的毛细管书写，我们从最小的样本量中制备了高质量的网格，并获得了测试样本的近原子重建，包括 TMV、脱铁铁蛋白和膜蛋白 TRPM4。我们进一步演示了可编程沉积模式，例如两次写入样品以提高颗粒密度，或用于网格混合的两行写入以可视化时间分辨的蛋白质-配体结合。在具有挑战性的情况下（NrS-1 DNA 聚合酶），cryoWriter 网格表现出相对于传统印迹减少的方向偏差，从而实现更加各向同性的重建。这些结果表明，cryoWriter 为可重复的低容量冷冻电镜网格制备和网格生化工作流程提供了一个多功能平台。
c4199c0747f8b10d,绿色幻想，持久贫困：地缘政治分裂如何助长绿色清洗并破坏南半球公正的能源转型,
beaf44103a6a733b,使用人工智能在有机朗肯循环中的性能预测、设计优化和操作控制的应用：综述,
32b203eb117dab44,≥5600万年前阿留申岛弧起始的构造和气候影响,阿留申俯冲起始的时间和起源仍然很少受到限制，但它们对于了解太平洋晚古新世到早始新世板块构造重组及其可能的气候后果至关重要。在这里，我们使用从四个基底海底序列（跨度约 700 公里）的西阿留申弧样本获得的地质年代学和地球化学数据，将阿留申俯冲起始限制在≥56 Ma。早期弧前熔岩与西太平洋伊豆-小笠原-马里亚纳俯冲初期喷发的弧前玄武岩具有相似的成分。正如 GPlates 模型所示，Olyutorsky 岛弧与堪察加-科里亚克边缘的碰撞以及伊邪那岐-太平洋海岭的俯冲可能引发了阿留申俯冲起始，以及 57 Ma 和 55 Ma 之间太平洋板块绝对运动从 WNW 到 NNW 的变化，如 GPlates 模型所示。我们的研究表明，阿留申俯冲起始是环太平洋约 10 迈尔板块重组开始时的一个关键事件，最终形成夏威夷-皇帝弯。这些构造岩浆事件可能促成了古新世晚期和始新世早期的同期全球气候事件。
76365d9f41f53aa4,可再生能源贸易路线：进口作为可再生能源技术传播的催化剂,
1eda9fdc9eea73bb,电荷密度波交织超导体中的超电流效应,准粒子的能量动量（E-k）色散构成了凝聚态物质系统的基本概念。改变 E-k 色散的能力，例如超导体中 Bogoliubov 准粒子谱的超电流引起的多普勒频移，使得能够操纵各种涌现的量子特性。然而，对与电荷顺序交织的超导体的超电流效应的研究仍然很少。在这里，我们报告说，由对所施加的面内磁场的抗磁响应产生的迈斯纳电流可以在前体电荷密度波（CDW）矢量处定制博戈柳波夫准粒子激发。我们的扫描隧道光谱成像揭示了超导 NbSe2 中 CDW 调制的场驱动对称性破缺，特别是 C3v 到 Cs 的转变。模型计算表明，观察到的各向异性源于选择性多普勒频移引起的 E-k 色散重建。此外，改变场方向可以按需调整各向异性 CDW 调制并可视化其动量空间分布。这些结果凸显了一种通过动量空间工程控制新兴电子相的新机制。
a6b78b00328b8f07,TS-1 沸石中的 Au 和 Ti 更接近，可增强活性,
920597041ce9ffc6,小鼠和人类肿瘤相关树突状细胞的泛癌单细胞图谱,树突状细胞（DC）是抗肿瘤免疫的关键诱导剂。为了在癌症背景下全面绘制小鼠和人类 DC 子集和状态，我们在这里生成了泛癌小鼠和人类肿瘤相关 DC (TADC) scRNA-seq 图集，涵盖 14 种小鼠肿瘤模型和 10 种人类癌症类型，其中我们识别了几种谱系定义的 DC 子集以及成熟/功能状态。我们发现，TADC 随着肿瘤进展而获得炎症特征，并且肿瘤介导的重编程发生在来自荷瘤小鼠淋巴结的 DC 内。重要的是，我们证明 TADC 在小鼠和人类之间广泛保守，尽管在某些亚群和状态中可能存在物种特异性差异。此外，我们对不同的人类 TADC 簇与患者生存结果的关系进行了全面评估。总的来说，我们对小鼠和人类癌症中的 TADC 区室进行了深入的表征，这可以提高我们对肿瘤微环境的理解，并有助于新抗癌疗法的开发。
72fb74f79a6846d6,中美贸易战是否会加剧能源贫困？来自中国家庭的证据,
