title,link,published,source,pub_date
Graphite: the new critical mineral,https://www.nature.com/articles/s41578-025-00848-5,2025-10-22 00:00:00 UTC,Nature Reviews Materials,2025-10-22 00:00:00+00:00
Uncertain climate effects of anthropogenic reactive nitrogen,https://www.nature.com/articles/s41586-025-09337-9,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Classical theories of gravity produce entanglement,https://www.nature.com/articles/s41586-025-09595-7,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Optimization by decoded quantum interferometry,https://www.nature.com/articles/s41586-025-09527-5,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Enteropathogenic bacteria evade ROCK-driven epithelial cell extrusion,https://www.nature.com/articles/s41586-025-09645-0,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Deterministic soliton microcombs in Cu-free photonic integrated circuits,https://www.nature.com/articles/s41586-025-09598-4,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
A metallic p-wave magnet with commensurate spin helix,https://www.nature.com/articles/s41586-025-09633-4,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Oxidative potential of atmospheric particles in Europe and exposure scenarios,https://www.nature.com/articles/s41586-025-09666-9,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Myocardial reprogramming by HMGN1 underlies heart defects in trisomy 21,https://www.nature.com/articles/s41586-025-09593-9,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
A circular economy approach for the global lithium-ion battery supply chain,https://www.nature.com/articles/s41586-025-09617-4,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Transcriptional interferences ensure one olfactory receptor per ant neuron,https://www.nature.com/articles/s41586-025-09664-x,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Designing allosteric modulators to change GPCR G protein subtype selectivity,https://www.nature.com/articles/s41586-025-09643-2,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
SARS-CoV-2 mRNA vaccines sensitize tumours to immune checkpoint blockade,https://www.nature.com/articles/s41586-025-09655-y,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
A global coral phylogeny reveals resilience and vulnerability through deep time,https://www.nature.com/articles/s41586-025-09615-6,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Joint neutrino oscillation analysis from the T2K and NOvA experiments,https://www.nature.com/articles/s41586-025-09599-3,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Mapping Plasmodium transitions and interactions in the Anopheles female,https://www.nature.com/articles/s41586-025-09653-0,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Cryogenic X-ray photoelectron spectroscopy for battery interfaces,https://www.nature.com/articles/s41586-025-09618-3,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Bottom-up design of Ca2+ channels from defined selectivity filter geometry,https://www.nature.com/articles/s41586-025-09646-z,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Observation of constructive interference at the edge of quantum ergodicity,https://www.nature.com/articles/s41586-025-09526-6,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Non-van der Waals superlattices of carbides and carbonitrides,https://www.nature.com/articles/s41586-025-09649-w,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Integration of hunger and hormonal state gates infant-directed aggression,https://www.nature.com/articles/s41586-025-09651-2,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Video‐rate tunable colour electronic paper with human resolution,https://www.nature.com/articles/s41586-025-09642-3,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Neuroendocrine control of calcium mobilization in the fruit fly,https://www.nature.com/articles/s41586-025-09670-z,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
Four game-changing immunology tools to watch,https://www.nature.com/articles/d41586-025-03335-7,2025-10-22 00:00:00 UTC,Nature,2025-10-22 00:00:00+00:00
