title,link,published,source,pub_date
Blood tests are now approved for Alzheimer’s: how accurate are they?,https://www.nature.com/articles/d41586-025-03394-w,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
Material insights and challenges for organic photovoltaics based on non-fullerene acceptors,https://www.cell.com/joule/fulltext/S2542-4351(25)00350-2?rss=yes,2025-10-17 00:00:00 UTC,Joule,2025-10-17 00:00:00+00:00
A recursive enzymatic competition network capable of multitask molecular information processing,https://www.nature.com/articles/s41557-025-01981-y,2025-10-17 00:00:00 UTC,Nature Chemistry,2025-10-17 00:00:00+00:00
Constructing dual charge transfer tunnels within highly charge-confined COFs for efficient photosynthesis of hydrogen peroxide from water and air,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf444/8292658?rss=1,2025-10-17 00:00:00 UTC,National Science Review Advance Access,2025-10-17 00:00:00+00:00
Breaking the PEG barrier to boost mRNA-LNP therapeutics,https://www.nature.com/articles/s41578-025-00852-9,2025-10-17 00:00:00 UTC,Nature Reviews Materials,2025-10-17 00:00:00+00:00
Time-resolved fluorescent proteins expand the microscopy palette,https://www.nature.com/articles/d41586-025-03318-8,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
Is academic research becoming too competitive? Nature examines the data,https://www.nature.com/articles/d41586-025-03119-z,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
Warning signs,https://www.nature.com/articles/d41586-025-03255-6,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
Would ChatGPT hire you? Your age and gender matter,https://www.nature.com/articles/d41586-025-03413-w,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
Author Correction: A room temperature rechargeable all-solid-state hydride ion battery,https://www.nature.com/articles/s41586-025-09701-9,2025-10-17 00:00:00 UTC,Nature,2025-10-17 00:00:00+00:00
A roadmap toward closed-loop autonomous experimentation for engineered nanomaterials,https://www.nature.com/articles/s44286-025-00291-x,2025-10-17 00:00:00 UTC,Nature Chemical Engineering,2025-10-17 00:00:00+00:00
Building industry connections,https://www.nature.com/articles/s44286-025-00292-w,2025-10-17 00:00:00 UTC,Nature Chemical Engineering,2025-10-17 00:00:00+00:00
A frugal Spiking Neural Network for unsupervised multivariate temporal pattern classification and multichannel spike sorting,https://www.nature.com/articles/s41467-025-64231-2,2025-10-17 00:00:00 UTC,Nature Communications,2025-10-17 00:00:00+00:00
Hydride formation pressures and kinetics in individual Pd nanoparticles with systematically varied levels of plastic deformation,https://www.nature.com/articles/s41467-025-64311-3,2025-10-17 00:00:00 UTC,Nature Communications,2025-10-17 00:00:00+00:00
