title,link,published,source,pub_date
Sugarcane genomes offer sweet surprise: mystery ancestor,https://www.nature.com/articles/d41586-025-03368-y,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
Ancient graffiti and brain complexities: Books in brief,https://www.nature.com/articles/d41586-025-03507-5,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
China seeks self-reliance in science in next five-year plan,https://www.nature.com/articles/d41586-025-03491-w,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
Chen-Ning Yang obituary: intuitive physicist whose theories on broken symmetries were proved right,https://www.nature.com/articles/d41586-025-03508-4,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
AI chatbots are sycophants — researchers say it’s harming science,https://www.nature.com/articles/d41586-025-03390-0,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
How Napoleon’s army met its doom: DNA reveals surprise illnesses had a role,https://www.nature.com/articles/d41586-025-03487-6,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
Paper or plastic?,https://www.nature.com/articles/d41586-025-03259-2,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
The sci-fi films that physicists love to watch — from Interstellar to Spider-Man,https://www.nature.com/articles/d41586-025-03440-7,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
Kelvin probe force microscopy maps the chiral-induced spin selectivity effect in chiral halide perovskites,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf456/8300800?rss=1,2025-10-24 00:00:00 UTC,National Science Review Advance Access,2025-10-24 00:00:00+00:00
Ligand-restricted synthesis of highly paired dual-atom catalysts,https://www.nature.com/articles/s41563-025-02385-6,2025-10-24 00:00:00 UTC,Nature Materials,2025-10-24 00:00:00+00:00
Divergent scaffold redesign of ecteinascidin 743 as a gateway to anticancer macrocycles,https://www.cell.com/chem/fulltext/S2451-9294(25)00406-1?rss=yes,2025-10-24 00:00:00 UTC,Chem,2025-10-24 00:00:00+00:00
Audio long read: How to get the best night’s sleep — what the science says,https://www.nature.com/articles/d41586-025-03421-w,2025-10-24 00:00:00 UTC,Nature,2025-10-24 00:00:00+00:00
Stereoselective hydroarylation of secondary allylic alcohols via a “transient shielding” mechanism,https://www.cell.com/chem/fulltext/S2451-9294(25)00382-1?rss=yes,2025-10-24 00:00:00 UTC,Chem,2025-10-24 00:00:00+00:00
Time-resolved exciton delocalization from transient absorption spectroscopy,https://www.cell.com/chem/fulltext/S2451-9294(25)00381-X?rss=yes,2025-10-24 00:00:00 UTC,Chem,2025-10-24 00:00:00+00:00
Unisensory processing of interleaving memristive nanowires enabling multimodal sensing at human-scale resolution,https://www.nature.com/articles/s41563-025-02373-w,2025-10-24 00:00:00 UTC,Nature Materials,2025-10-24 00:00:00+00:00
Polarization-driven spontaneous scrolling of two-dimensional materials,https://www.nature.com/articles/s41563-025-02376-7,2025-10-24 00:00:00 UTC,Nature Materials,2025-10-24 00:00:00+00:00
Photochemical rearrangement of isonitriles via energy transfer catalysis,https://www.nature.com/articles/s41467-025-64460-5,2025-10-24 00:00:00 UTC,Nature Communications,2025-10-24 00:00:00+00:00
Mapping mining areas in the tropics from 2016 to 2024,https://www.nature.com/articles/s41893-025-01668-9,2025-10-24 00:00:00 UTC,Nature Sustainability,2025-10-24 00:00:00+00:00
Unravelling electro-chemo-mechanical processes in graphite/silicon composites for designing nanoporous and microstructured battery electrodes,https://www.nature.com/articles/s41565-025-02027-7,2025-10-24 00:00:00 UTC,Nature Nanotechnology,2025-10-24 00:00:00+00:00
Targeted high-resolution sensing of volatile organic compounds by covalent nanopore detection,https://www.nature.com/articles/s41467-025-64184-6,2025-10-24 00:00:00 UTC,Nature Communications,2025-10-24 00:00:00+00:00
N-acetyl-glucosamine primes Pseudomonas aeruginosa for virulence through a type IV pili/cAMP-mediated morphology transition,https://www.nature.com/articles/s41467-025-64071-0,2025-10-24 00:00:00 UTC,Nature Communications,2025-10-24 00:00:00+00:00
