title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Blue hydrogen and U.S. tax credit policy: An economic assessment of 45Q and 45V incentives under a changing federal policy,https://www.sciencedirect.com/science/article/pii/S0301421526003356?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-06-06 00:00:00+00:00,,Gregory Upton,,,,,蓝氢和美国税收抵免政策：联邦政策变化下 45Q 和 45V 激励措施的经济评估,,,b14bc0b9b67d4fa7
Adaptive EV charging scheduling in real-time imbalance markets using model-free reinforcement learning,https://www.sciencedirect.com/science/article/pii/S0306261926007907?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-06-06 00:00:00+00:00,,Cedric De Cauwer,,,,,使用无模型强化学习在实时不平衡市场中进行自适应电动汽车充电调度,,,ad951a2b46059e88
Grain boundary engineered aluminum current collector for energy-dense initially anode-free sodium metal batteries,https://www.nature.com/articles/s41467-026-74177-8,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Chengxin Wang,,"The initially anode-free sodium metal batteries represent promising candidates for high specific energy and safe battery systems, relying solely on cathodic sodium reservoirs. However, the irreversible accumulation of electrochemically inactive “dead” Na and unstable solid electrolyte interphases fundamentally constrains cyclability through rapid active Na depletion. Here, we utilize a grain-boundary gallium-rich polycrystalline aluminum current collector to trigger controlled dissolution of aluminum ions. The dissolved aluminum ions modify the local coordination environment of the electrolyte, thereby perturbing the solvation equilibrium of sodium ions and facilitating sodium ions migration toward the positive electrode for charge compensation. The gallium-rich aluminum current collector enables stable Na plating/stripping for over 2500 cycles. The pouch cell with Na3V2(PO4)3 delivers 88.7% capacity retention after 100 cycles at 35.1 mA g−1 in 1 M NaPF6 in diglyme, based on a nominal capacity of 117 mAh g−1. In addition, the full cell with a high positive electrode loading (47.4 mg cm−2) achieves a high specific energy of 201.5 Wh kg−1, calculated based on all cell components (positive electrode, negative electrode, separator and electrolyte). This work proposes a viable current collector design concept that can be extended to other initially anode-free battery systems.",nature_html,,用于能量密集型初始无阳极钠金属电池的晶界工程铝集流体,最初的无阳极钠金属电池代表了高比能和安全电池系统的有希望的候选者，仅依赖于阴极钠库。然而，电化学不活泼的“死”Na 和不稳定的固体电解质界面的不可逆积累，通过快速活性Na 耗尽从根本上限制了可循环性。在这里，我们利用晶界富镓多晶铝集电器来触发铝离子的受控溶解。溶解的铝离子改变了电解质的局部配位环境，从而扰乱了钠离子的溶剂化平衡，促进钠离子向正极迁移以进行电荷补偿。富镓铝集流体可实现超过 2500 次循环的稳定镀钠/脱钠。基于 117 mAh g−1 的标称容量，含有 Na3V2(PO4)3 的软包电池在二甘醇二甲醚中的 1 M NaPF6 中以 35.1 mA g−1 循环 100 次后，容量保持率为 88.7%。此外，根据所有电池组件（正极、负极、隔膜和电解质）计算，具有高正极负载（47.4 mg cm−2）的全电池实现了201.5 Wh kg−1的高比能。这项工作提出了一种可行的集电器设计概念，可以扩展到其他最初无阳极的电池系统。,,1afed7f4ca7cf0bf
Superballistic flow of viscous electron fluid induced by edge magnetoplasmons in point contacts,https://www.nature.com/articles/s41467-026-73154-5,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Rui-Rui Du,,"In narrow conductors, electron-electron collisions can create a viscous fluid state, allowing conductivity beyond ballistic transport into the superballistic regime. Point contacts made from ultrahigh-mobility two-dimensional electron gas serve as a platform to study this effect. Under microwave irradiation, edge magnetoplasmons in point contacts are excited and strongly influence electron dynamics. This study uses photoconductivity signals - changes from microwave exposure - to investigate superballistic electron flow, confirmed by size-dependent photoconductivity, magnetic field effects, and microwave power analysis. At low magnetic fields, weak microwaves lead to positive photoconductivity due to superballistic flow, while strong radiation causes negative photoconductivity because of enhanced phonon scattering.",nature_html,,点接触中边缘磁等离子引起的粘性电子流体的超弹流,在窄导体中，电子与电子的碰撞可以产生粘性流体状态，从而使导电性超越弹道输运进入超弹道状态。由超高迁移率二维电子气制成的点接触可以作为研究这种效应的平台。在微波辐射下，点接触中的边缘磁等离子被激发并强烈影响电子动力学。这项研究使用光电导信号（微波暴露引起的变化）来研究超弹道电子流，并通过尺寸相关的光电导、磁场效应和微波功率分析来证实。在低磁场下，弱微波由于超弹道流而导致正光电导，而强辐射由于增强的声子散射而导致负光电导。,,bc88a1f0de0b45a2
Bioinspired nano-architecture for cellulose fibers with spider silk–like toughness,https://www.nature.com/articles/s41467-026-74052-6,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Dongdong Ye,,"Cellulose fibers derived from renewable biomass exhibit exceptional tensile strength through molecular alignment and dense packing, yet their toughness remains limited, typically below 50 MJ m−3. Drawing inspiration from the helical nanoarchitecture of cherry bark, we introduce a bioinspired nano-orientation strategy to fabricate regenerated cellulose fibers with a biaxially oriented structure via a scalable microfluidic spinning technique. Combining experimental characterization and molecular simulations, we demonstrate that this biaxial nano-architecture effectively redistributes stress and suppresses crack propagation during deformation, achieving a remarkable fracture strain of 41% alongside a tensile strength of 553 MPa. This synergy yields a toughness of 184 MJ m−3, exhibiting highly competitive performance relative to most previously reported cellulose fibers and synthetic polymers, and achieving a mechanical performance on the same order of magnitude as natural spider silk. Moreover, this enhancement extends seamlessly from single fibers to woven fabrics, highlighting its potential for sustainable, high-performance materials in textiles, automotive components, and aerospace applications. Our findings illuminate a design for overcoming the intrinsic brittleness of cellulose fibers, advancing their applicability as eco-friendly structural materials.",nature_html,,具有蜘蛛丝般韧性的纤维素纤维的仿生纳米结构,源自可再生生物质的纤维素纤维通过分子排列和致密堆积表现出卓越的拉伸强度，但其韧性仍然有限，通常低于 50 MJ m−3。受樱桃树皮螺旋纳米结构的启发，我们引入了一种仿生纳米取向策略，通过可扩展的微流体纺丝技术制造具有双向取向结构的再生纤维素纤维。结合实验表征和分子模拟，我们证明这种双轴纳米结构可以有效地重新分布应力并抑制变形过程中的裂纹扩展，实现 41% 的显着断裂应变以及 553 MPa 的拉伸强度。这种协同作用产生了 184 MJ m−3 的韧性，相对于大多数先前报道的纤维素纤维和合成聚合物表现出极具竞争力的性能，并实现了与天然蜘蛛丝相同数量级的机械性能。此外，这种增强功能从单纤维无缝延伸到机织织物，凸显了其在纺织品、汽车零部件和航空航天应用中作为可持续高性能材料的潜力。我们的研究结果阐明了一种克服纤维素纤维固有脆性的设计，提高了它们作为环保结构材料的适用性。,,d62380d53e6d73aa
Revealing hidden periodicity in momentum-encoded metasurfaces,https://www.nature.com/articles/s41467-026-74150-5,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Junsuk Rho,,"Structured planar materials known as metasurfaces enable versatile manipulation of electromagnetic waves at subwavelength scales. Especially, metasurfaces can serve as spatial sampling lattices that encode prescribed in-plane momentum profiles, as commonly employed in phase-gradient and Pancharatnam–Berry metasurfaces. However, such momentum-encoded metasurfaces typically lose global periodicity, complicating rigorous analyses. Here, we introduce a universal geometric framework that interprets momentum-encoded metasurfaces as directional Moiré lattices formed by imposing one-dimensional periodic perturbations onto two-dimensional Bravais lattices. We derive explicit commensurability conditions that reveal hidden periodicity in otherwise aperiodic structures and enable their representation as compact periodic superlattices. This supercell representation allows the discretization of radiation channels into defined diffraction orders, enabling clear, intuitive performance characterization. We validate the framework by applying it to local metasurfaces, obtaining diffraction results consistent with two-dimensional sampling theory, and to non-local metasurfaces with spin-dependent Rashba momentum, precisely identifying their superlattice conditions and their valley-addressable character. We further experimentally demonstrate the predicted valley addressability using fabricated momentum-encoded photonic crystal slabs. Our method thus provides an efficient and generalizable basis for analyzing complex metasurface architectures and exploring diverse lattice phenomena in wave physics.",nature_html,,揭示动量编码超表面中隐藏的周期性,被称为超表面的结构化平面材料能够在亚波长尺度上对电磁波进行多种操作。特别是，超表面可以用作空间采样晶格，编码指定的面内动量分布，如相位梯度和 Pancharatnam-Berry 超表面中常用的那样。然而，这种动量编码的超表面通常会失去全局周期性，使严格的分析变得复杂。在这里，我们引入了一个通用的几何框架，它将动量编码的超表面解释为通过将一维周期性扰动施加到二维布拉维晶格上而形成的定向莫尔晶格。我们推导了显式的可通约性条件，揭示了其他非周期结构中隐藏的周期性，并使它们能够表示为紧凑的周期性超晶格。这种超级单元表示允许将辐射通道离散化为定义的衍射级，从而实现清晰、直观的性能表征。我们通过将其应用于局部超表面来验证该框架，获得与二维采样理论一致的衍射结果，并将其应用于具有自旋相关的 Rashba 动量的非局部超表面，精确识别其超晶格条件及其谷可寻址特征。我们进一步通过实验证明了使用制造的动量编码光子晶体板预测的谷寻址能力。因此，我们的方法为分析复杂的超表面结构和探索波动物理学中的各种晶格现象提供了有效且可推广的基础,,fd7c53fd9630f52d
Correlated singular flat bands on the surface pentagonal lattice of ferromagnetic CoS2,https://www.nature.com/articles/s41467-026-73741-6,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Bohm-Jung Yang,,"Flat bands have been proposed in various geometrically frustrated lattices, yet their experimental realization has been limited only to the two-dimensional (2D) kagome and three-dimensional (3D) pyrochlore lattices. While synthesizing bulk crystals with desired lattice geometry is generally challenging, the surfaces of 3D bulk materials sometimes naturally host 2D lattice structures hardly achievable in 2D bulk crystals. Thus, the electrons localized on such 2D surfaces can be a new platform for exotic flat bands residing on the unexplored lattice geometry. Here, we report the first experimental observation of singular flat bands with band crossings in the 2D pentagonal lattice on the surface of the 3D ferromagnetic topological semimetal CoS2. We demonstrate that the coupling between localized surface flat bands and extended bulk topological bands gives rise to the surface non-Fermi liquid behavior characterized by the quasiparticle scattering rate with linear temperature dependence and pronounced quasiparticle broadening. This study of CoS2 highlights metallic pyrite materials as an ideal platform for exploring the exotic properties of spin-polarized singular flat bands localized on the surface pentagonal lattice, which provides a fresh perspective for investigating correlated electron phenomena in pentagon-based materials.",nature_html,,铁磁 CoS2 表面五边形晶格上的相关奇异平带,平带已在各种几何挫败晶格中提出，但其实验实现仅限于二维 (2D) kagome 和三维 (3D) 烧绿石晶格。虽然合成具有所需晶格几何形状的块状晶体通常具有挑战性，但 3D 块状材料的表面有时会自然地呈现 2D 块状晶体中难以实现的 2D 晶格结构。因此，位于此类二维表面上的电子可以成为驻留在未探索的晶格几何结构上的奇异平带的新平台。在这里，我们报告了在 3D 铁磁拓扑半金属 CoS2 表面的 2D 五边形晶格中首次实验观察到具有带交叉的奇异平带。我们证明，局部表面平带和扩展体拓扑带之间的耦合产生了表面非费米液体行为，其特征是具有线性温度依赖性的准粒子散射率和明显的准粒子展宽。 CoS2 的这项研究强调金属黄铁矿材料是探索位于表面五边形晶格上的自旋极化奇异平带奇异特性的理想平台，这为研究五边形材料中的相关电子现象提供了新的视角。,,b33cf75547f229ad
Towards practical aqueous zinc metal pouch cell batteries via weakly bound water-mediated shear-thickening electrolyte,https://www.nature.com/articles/s41467-026-74014-y,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Wei Ai,,"Disordered dendrite growth and corrosion reactions of zinc negative electrodes remain critical challenges in aqueous zinc metal batteries. Regulating water states in shear-thickening non-Newtonian fluid electrolytes has emerged as a promising strategy to simultaneously suppress dendrite growth and corrosion for zinc negative electrodes. Herein, we design a multifunctional shear-thickening non-Newtonian fluid electrolyte, based on carboxymethyl cellulose and sulfonate silicon oxide nanoparticles, which addresses both issues through hierarchical regulation of water molecule states. Carboxymethyl cellulose converts free water into weakly bound water, thereby suppressing water-induced parasitic reactions. Concurrently, sulfonated SiO2 nanoparticles form an integrated shear-thickening network with amylopectin and carboxymethyl cellulose while introducing abundant surface –SO3⁻ groups that disrupt the strongly bound water layer at the zinc interface. This architecture enables localized mechanical stiffening at dendrite tips without compromising ionic conductivity. As a result, Zn | |Zn symmetric cells exhibit stable Zn plating/stripping for 900 h at 50 mA cm⁻2 and 25 mAh cm⁻2, and Zn | |I2 pouch cells with a capacity of 1.5 Ah maintain stability over 200 cycles at 20 mA cm⁻2. These findings offer a alternative pathway toward corrosion-resistant, mechanically adaptive aqueous and practical zinc pouch cells systems.",nature_html,,通过弱结合水介导的剪切增稠电解质实现实用的水性锌金属软包​​电池,锌负极的无序枝晶生长和腐蚀反应仍然是水性锌金属电池的关键挑战。调节剪切增稠非牛顿流体电解质中的水态已成为同时抑制锌负极枝晶生长和腐蚀的有前途的策略。在此，我们设计了一种基于羧甲基纤维素和磺酸硅氧化物纳米粒子的多功能剪切增稠非牛顿流体电解质，它通过水分子状态的分层调节解决了这两个问题。羧甲基纤维素将游离水转化为弱结合水，从而抑制水引起的寄生反应。同时，磺化 SiO2 纳米粒子与支链淀粉和羧甲基纤维素形成集成的剪切增稠网络，同时引入丰富的表面 –SO3⁻ 基团，破坏锌界面处强结合的水层。这种结构能够在枝晶尖端实现局部机械硬化，而不会影响离子电导率。结果，Zn | |Zn 对称电池在 50 mA cm⁻2 和 25 mAh cm⁻2 下表现出稳定的 Zn 电镀/剥离 900 小时，并且 Zn | |容量为 1.5 Ah 的 I2 软包电池在 20 mA cm⁻2 下可保持超过 200 个循环的稳定性。这些发现为耐腐蚀、机械适应性水性和实用的锌袋电池系统提供了一条替代途径。,,7dbcd73e4d9e7b9e
Dihydrogen-bonding interactions in ether-based electrolytes to enable high-voltage lithium metal batteries,https://www.nature.com/articles/s41467-026-74013-z,,Physical sciences : Nature Communications subject feeds,2026-06-06 00:00:00+00:00,,Yongtao Li,,"High-voltage lithium metal batteries require electrolytes that simultaneously combine oxidative stability with Li metal compatibility, posing a major challenge for conventional ether-based systems, which are typically limited to voltages below 4.0 V. Although conventional electrolyte engineering has been widely employed to enhance oxidative stability, they often compromise ionic conductivity or require complex synthetic routes. Herein, we propose a strategy based on dihydrogen-bonding interactions by introducing 0.05 M LiBH₄ into conventional ether-based electrolytes to construct a dihydrogen-bonded electrolyte. The hydridic H− in BH₄− interacts with the active Hδ⁺ atoms of 1,2-dimethoxyethane to form dihydrogen bonds, thereby weakening the Li⁺–solvent interaction, accelerating Li⁺ de-solvation, and promoting uniform Li deposition. Simultaneously, these dihydrogen-bonding interactions shield the active Hδ⁺ sites of the solvent within the positive electrode interface, thereby significantly suppressing the oxidative decomposition of 1,2-dimethoxyethane. As a result, the oxidative stability of the electrolyte is extended to 5.54 V without compromising ionic conductivity (>16 mS cm−1/30 °C). Lithium metal full cells using this electrolyte exhibit stable cycling at 4.5 V. This study provides a promising pathway for the design of high-voltage ether-based electrolytes.",nature_html,,醚基电解质中的二氢键相互作用可实现高压锂金属电池,"高压锂金属电池需要同时将氧化稳定性与锂金属相容性结合起来的电解质，这对传统的基于醚的系统构成了重大挑战，这些系统通常仅限于低于4.0 V的电压。尽管传统的电解质工程已被广泛采用来增强氧化稳定性，但它们通常会损害离子电导率或需要复杂的合成路线。在此，我们提出了一种基于二氢键相互作用的策略，通过将 0.05 M LiBH4 引入到传统的醚基电解质中来构建二氢键电解质。 BH₄−中的氢氢H−与1,2-二甲氧基乙烷的活性Hδ⁺原子相互作用形成二氢键，从而减弱Li⁺与溶剂的相互作用，加速Li⁺脱溶剂化，促进均匀的Li沉积。同时，这些二氢键相互作用屏蔽了正极界面内溶剂的活性Hδ⁺位点，从而显着抑制了1,2-二甲氧基乙烷的氧化分解。结果，电解质的氧化稳定性延长至 5.54 V，而不影响离子电导率 (>16 mS cm−1/30 °C)。使用这种电解质的锂金属全电池在 4.5 V 下表现出稳定的循环。这项研究为高压醚基电解质的设计提供了一条有前景的途径。",,97ae3a87bdf226c5
A spatially explicit techno-economic framework for assessing co-located floating wind-wave energy farms,https://www.sciencedirect.com/science/article/pii/S0306261926008184?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-06-06 00:00:00+00:00,,Victor Ramos,,,,,用于评估同地浮动风波发电场的空间明确的技术经济框架,,,b2d9d279d3977206
