title,link,published,source,pub_date
Near-100% spontaneous rolling up of polar van der Waals materials,https://www.nature.com/articles/s41563-025-02357-w,2025-10-13 00:00:00 UTC,Nature Materials,2025-10-13 00:00:00+00:00
"Defending Ohuira Bay, Mexico",https://www.nature.com/articles/d41586-025-03315-x,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Host cell Z-RNAs activate ZBP1 during virus infections,https://www.nature.com/articles/s41586-025-09705-5,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Stability breakthrough accelerates commercialization of perovskite indoor photovoltaics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf409/8284970?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Thermoelectric transport with band nonparabolicity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf434/8284974?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Author Correction: PAK4 phosphorylates and inhibits AMPKα to control glucose uptake,https://www.nature.com/articles/s41467-025-64713-3,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Structural basis of measles virus polymerase inhibition by nonnucleoside inhibitor ERDRP-0519,https://www.nature.com/articles/s41467-025-64128-0,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
High entropy engineered polymer blends with enhanced dielectric properties and high temperature stability,https://www.nature.com/articles/s41467-025-63248-x,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
ALKBH8-mediated codon-specific translation promotes colorectal tumorigenesis,https://www.nature.com/articles/s41467-025-64144-0,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
North American “warming holes” and European heat during abrupt Holocene cooling events in the Atlantic,https://www.nature.com/articles/s41467-025-63330-4,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Ultra-high energy storage in relaxor ferroelectric MLCCs at elevated temperatures via entropy modulated strain heterogeneity,https://www.nature.com/articles/s41467-025-64113-7,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Dopamine dynamics during stimulus-reward learning in mice can be explained by performance rather than learning,https://www.nature.com/articles/s41467-025-64132-4,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
"Discovering MXenes, the building blocks for future technology: an interview with Yury Gogotsi",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf431/8284977?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Tectonic-surface Carbon Cycle Dynamics: Toward Resolving Cross-Scale Coupling Challenges,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf433/8284980?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
One-pot organocatalysis of diacrylates to functional polyesters for toughening polylactide,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf437/8284984?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Enantioselective homologation of helical architectures from fluorenones to phenanthrenones with enhanced circular dichroism,https://www.nature.com/articles/s41467-025-64151-1,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Extreme Dry-Hot in North America and Europe: The Amplified Role of Warming-Enhanced Land-Air Coupling,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf435/8284995?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Exceptionally long-lived charge-separated states in CdS nanocrystals with a covalently bound phenothiazine derivative,https://www.cell.com/chem/fulltext/S2451-9294(25)00351-1?rss=yes,2025-10-13 00:00:00 UTC,Chem,2025-10-13 00:00:00+00:00
Andean peoples hunted and gathered long after they embraced farming,https://www.nature.com/articles/d41586-025-03283-2,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Birds’ intruder alert hints at how sounds took on new meanings,https://www.nature.com/articles/d41586-025-03328-6,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Synergistic regulation of molecular additives for stabilization of lithium metal batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf432/8284994?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
"Digital flocks, predators allow ecologists to simulate real-world animal behaviour",https://www.nature.com/articles/d41586-025-03314-y,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
‘Am I redundant?’: how AI changed my career in bioinformatics,https://www.nature.com/articles/d41586-025-03135-z,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Ultrafast surface melting of orbital order in La0.5Sr1.5MnO4,https://www.nature.com/articles/s41563-025-02379-4,2025-10-13 00:00:00 UTC,Nature Materials,2025-10-13 00:00:00+00:00
Economics Nobel prize won by researchers who showed how science boosts growth,https://www.nature.com/articles/d41586-025-03364-2,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
What an academic misconduct accusation taught me about sharing research,https://www.nature.com/articles/d41586-025-02947-3,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Men’s brains shrink faster than women’s: what that means for Alzheimer’s,https://www.nature.com/articles/d41586-025-03353-5,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Unraveling degradation mechanism of electrolyte at high voltage and a hybridization strategy for non-flammable 4.8 V LiCoO2 battery,https://www.cell.com/joule/fulltext/S2542-4351(25)00347-2?rss=yes,2025-10-13 00:00:00 UTC,Joule,2025-10-13 00:00:00+00:00
Alchemy: discredited pseudoscience or chemistry’s worthy ancestor?,https://www.nature.com/articles/d41586-025-03309-9,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Metals are key to the global economy — but three challenges threaten supply chains,https://www.nature.com/articles/d41586-025-03312-0,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
The century-old ship sail technology finally catching on,https://www.bbc.com/news/articles/c1dqznvxylqo?at_medium=RSS&at_campaign=rss,2025-10-13 05:25:52 UTC,BBC News,2025-10-13 05:25:52+00:00
Haifeng Zheng,https://onlinelibrary.wiley.com/doi/10.1002/anie.202521307?af=R,2025-10-13 05:58:33 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 05:58:33+00:00
"Contemporary Trends in Lithium‐Sulfur Battery Design: A Comparative Review of Liquid, Quasi‐Solid, and All‐Solid‐State Architectures and Mechanisms",https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202503239?af=R,2025-10-13 05:58:47 UTC,Wiley: Advanced Energy Materials: Table of Contents,2025-10-13 05:58:47+00:00
Rational Crystal Contact Engineering for Programmable Self‐Assembled Protein Architectures,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516635?af=R,2025-10-13 05:59:37 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 05:59:37+00:00
"A Crystalline Bismuth(II) Radical Anion: Synthesis, Characterization, and Reactivity",https://onlinelibrary.wiley.com/doi/10.1002/anie.202515545?af=R,2025-10-13 06:00:34 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:00:34+00:00
