title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
High Young’s modulus NaF coating on bulk-Sn: mechanical confinement effect drives durable sodium storage by alleviating (De) sodiation stress,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag428/8732562?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag428,Yuliang Cao,,"Sn has emerged as a promising anode material for next-generation Sodium-ion batteries owing to its high theoretical capacity. However, the high volumetric expansion of Sn anode upon sodiation generates significant internal stress, which leads to particle cracking, pulverization, and electrode failure. Herein, we report a novel and facile approach to in-situ coat a NaF layer on bulk Sn particles via a solution supersaturation route. The high Young’s modulus of the NaF coating enables a strong mechanical confinement effect, which effectively suppresses the volume expansion and mechanical stress of Sn. Additionally, the NaF coating promotes the formation of a thin, uniform and dense solid electrolyte interphase film, thereby resulting in a significant improved Coulombic efficiency. The designed Sn@NaF anode exhibits remarkable cycling stability and low-temperature adaptability in both half cell and full cell. These results highlight the great potential of the Sn@NaF anode for high energy density SIBs.",rss_oup,,本体锡上的高杨氏模量 NaF 涂层：机械限制效应通过减轻 (De) 钠化应力来驱动持久的钠存储,由于其高理论容量，锡已成为下一代钠离子电池的有前途的负极材料。然而，钠化时锡阳极的高体积膨胀会产生显着的内应力，从而导致颗粒破裂、粉化和电极故障。在此，我们报告了一种新颖且简便的方法，通过溶液过饱和途径在块状 Sn 颗粒上原位涂覆 NaF 层。 NaF涂层的高杨氏模量具有很强的机械约束效应，有效抑制了Sn的体积膨胀和机械应力。此外，NaF涂层促进了薄而均匀致密的固体电解质界面膜的形成，从而显着提高了库仑效率。设计的Sn@NaF负极在半电池和全电池中均表现出卓越的循环稳定性和低温适应性。这些结果凸显了 Sn@NaF 阳极在高能量密度 SIB 方面的巨大潜力。,,83518696a1c03aa8
Connecting Europe through hydrogen: Cost allocation analysis of cross-border pipeline coalitions under varying subsidy policies,https://www.sciencedirect.com/science/article/pii/S030142152600426X?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-07-11 00:00:00+00:00,,Tamás Solymosi,,,,,氢能连接欧洲：不同补贴政策下跨境管道联盟的成本分配分析,,,d2ec2f2c85a0dcd8
"Dynamic and synergic effects of energy transition, carbon policy and trade conflicts: A mixed-frequency approach",https://www.sciencedirect.com/science/article/pii/S0301421526004222?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-07-11 00:00:00+00:00,,Yifei Lv,,,,,能源转型、碳政策和贸易冲突的动态和协同效应：混合频率方法,,,51bcf9c5c81ee329
Microbially reduced flavins destabilize the TiO2 passive film of titanium under bulk aerobic conditions,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag426/8732568?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag426,Derek R Lovley,,"Passive metals protected by surface oxide films dominate modern structural materials. Thus, understanding the mechanisms governing passive film breakdown is essential. The electronically insulating TiO2 passive film on titanium separates the underlying Ti° from environmental oxidants, but microbial biofilms have been reported to catalyze titanium corrosion. Here we demonstrate that the common marine microbe Shewanella algae growing on titanium reduces TiO2 to destabilize the passive film. The biofilm consumes oxygen, generating anaerobic conditions near the metal interface even when the bulk environment remains aerobic. High-resolution characterizations reveal thinning of the passive layer and accumulation of lower-valence titanium oxides. Electrochemical analyses show a six-fold increase in corrosion current from Ti0 accompanied by enhanced pitting. Mutant studies and other approaches indicate that extracellular flavins function as an intermediary electron carrier for S. algae TiO2 reduction. These results demonstrate how microbes create localized microenvironments that accelerate corrosion of otherwise highly corrosion-resistant metals.",rss_oup,,在大量需氧条件下，微生物还原的黄素会破坏钛的 TiO2 钝化膜的稳定性,受表面氧化膜保护的钝化金属在现代结构材料中占主导地位。因此，了解钝化膜击穿的机制至关重要。钛上的电子绝缘 TiO2 钝化膜将下面的 Ti° 与环境氧化剂分开，但据报道微生物生物膜会催化钛腐蚀。在这里，我们证明了在钛上生长的常见海洋微生物希瓦氏藻会减少 TiO2 从而破坏钝化膜的稳定性。生物膜消耗氧气，即使整体环境保持有氧，也会在金属界面附近产生厌氧条件。高分辨率表征揭示了钝化层的变薄和低价钛氧化物的积累。电化学分析表明，Ti0 的腐蚀电流增加了六倍，同时点蚀增强。突变体研究和其他方法表明，细胞外黄素可作为 S. algae TiO2 还原的中间电子载体。这些结果证明了微生物如何创造局部微环境，加速其他高度耐腐蚀金属的腐蚀。,,68ff1df380c4f6b6
Constructing mesoscale functionomics by neural dynamics subspace clustering,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag420/8732559?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag420,Qionghai Dai,,"Building a fine-grained functional atlas of the brain is crucial for deciphering bio-intelligence. However, the intricate and non-linear interactions at single-neuron level lead to asynchronous and heterogeneous firing patterns among closely interacting neural populations, thereby challenging correlated-firing-based clustering methods. Here, we present Functional subspace clustering based on sparse Representation of Intrinsic Dynamics (FRID), an unsupervised approach for identifying neurons with shared microcircuit connectivity and information encoding properties (referred to as Functionomics) from mesoscale neural recordings. FRID significantly outperforms correlated-firing-based methods in both simulated complex networks and empirical calcium recordings. The accuracy and utility of FRID are validated across sensory integration and decision-making tasks to produce functionomic clusters with improved resolution and coding specificity than those defined by anatomical functional areas. As representative findings, we demonstrate single-cell level functional remapping during recovery from ischemic stroke and the learning-induced reorganization of functional modularization. Together with large-scale neural recordings, FRID could serve as a general data-driven paradigm to accelerate the understanding of mesoscale brain functions.",rss_oup,,通过神经动力学子空间聚类构建介观功能组学,构建细粒度的大脑功能图谱对于破译生物智能至关重要。然而，单神经元水平上复杂且非线性的相互作用导致紧密相互作用的神经群体之间出现异步和异质的放电模式，从而对基于相关放电的聚类方法提出了挑战。在这里，我们提出了基于内在动力学稀疏表示（FRID）的功能子空间聚类，这是一种无监督方法，用于从中尺度神经记录中识别具有共享微电路连接和信息编码属性（称为功能组学）的神经元。在模拟复杂网络和经验钙记录中，FRID 显着优于基于相关放电的方法。 FRID 的准确性和实用性在感觉统合和决策任务中得到验证，以产生比解剖功能区域定义的功能组簇具有更高分辨率和编码特异性的功能组簇。作为代表性发现，我们展示了缺血性中风恢复期间的单细胞水平功能重新映射以及学习诱导的功能模块化重组。与大规模神经记录一起，FRID 可以作为通用数据驱动范例，以加速对中尺度大脑功能的理解。,,580442afd15ce6aa
"The Bottlenecks, Architectures and Future Pathways of Optoelectronic Integration: an Interview with Qionghai Dai",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag431/8732558?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag431,Jingxuan Chen,,"Jiamin Wu, Jingxuan Chen; The Bottlenecks, Architectures and Future Pathways of Optoelectronic Integration: an Interview with Qionghai Dai, National Scienc",openalex,,光电集成的瓶颈、架构和未来路径：戴琼海专访,吴嘉敏，陈静轩；光电集成的瓶颈、架构和未来路径：国家科学中心戴琼海专访,,fe690e99a295edfc
What money can’t buy: Company experience and community resistance to renewable energy infrastructure,https://www.sciencedirect.com/science/article/pii/S0301421526004076?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-07-11 00:00:00+00:00,,José Vega-Araújo,,,,,金钱买不到什么：公司经验和社区对可再生能源基础设施的抵制,,,5d70b50f4a22842a
Direct synthesis of p-type PbS quantum dot inks toward wafer-scale SWIR imaging,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag421/8732561?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag421,Wanli Ma,,"PbS quantum dots (QDs) are highly promising for scalable short-wave infrared (SWIR) optoelectronics due to their tunable bandgap and solution-processability. While efficient devices require well-defined p-n homojunctions, the fabrication of p-type QD layers remains a critical bottleneck compared with the well-established n-type QD inks. Current fabrication of p-type QD layers relies on solid-state ligand exchange (SSLE). However, SSLE suffers from incomplete ligand replacement and non-uniform oxidation, causing film inhomogeneity that prevents wafer-scale manufacturing. Here, we report a direct synthesis of p-type PbS QD inks with tunable QD size, optical absorption, and p-type electronic characteristics. This ink yields conductive p-type films on 6-inch Si substrates with highly uniform thickness. Using this strategy, we realize SWIR photodetectors with fully ink-processed PbS QD p–n junctions, together with a prototype imaging module. When integrated with a recognition algorithm, the imager provides SWIR images that facilitate vehicle recognition under foggy conditions. This work establishes a scalable route toward future high-performance, wafer-level SWIR optoelectronic platforms.",rss_oup,,直接合成 p 型 PbS 量子点墨水以实现晶圆级短波红外成像,PbS 量子点 (QD) 由于其可调谐带隙和溶液可加工性，在可扩展的短波红外 (SWIR) 光电子学方面非常有前景。虽然高效的器件需要明确的 p-n 同质结，但与成熟的 n 型 QD 墨水相比，p 型 QD 层的制造仍然是一个关键瓶颈。目前 p 型 QD 层的制造依赖于固态配体交换 (SSLE)。然而，SSLE 存在配体替换不完全和氧化不均匀的问题，导致薄膜不均匀，阻碍了晶圆级制造。在这里，我们报告了具有可调 QD 尺寸、光学吸收和 p 型电子特性的 p 型 PbS QD 墨水的直接合成。该墨水可在 6 英寸硅基板上生成厚度高度均匀的导电 p 型薄膜。利用这种策略，我们实现了具有完全墨水处理的 PbS QD p-n 结的短波红外光电探测器以及原型成像模块。当与识别算法集成时，成像仪提供短波红外图像，有助于雾天条件下的车辆识别。这项工作为未来高性能、晶圆级短波红外光电平台建立了一条可扩展的路线。,,1e990be22a748d27
Highly recyclable and efficient electrocatalytic synthesis of adipic acid catalyzed by ultra-alkali-resistant [Ni36] nanocages in MOF,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag427/8732565?rss=1,,National Science Review Advance Access,2026-07-11 00:00:00+00:00,10.1093/nsr/nwag427,Bin Zhao,,"As a pivotal industrial chemical, adipic acid (AA) is synthesizable through the electrocatalytic oxidation of cyclohexanol under ambient conditions, utilizing electrons as a clean oxidant. This approach circumvents the energy-intensive and environmentally detrimental nature of conventional petrochemical processes, thereby offering a sustainable alternative for AA production. However, existing electrocatalysts are often plagued by instability in alkaline media, and their structure-activity relationships remain poorly understood. Here, we report a novel [Ni36] nanocage-based metal-organic framework ([Ni9]-MOF) synthesized via a bottom-up strategy from discrete [Ni9]-clusters, exhibiting excellent stability in both strong alkaline (8 M NaOH) and acidic (1 M HCl) conditions. [Ni9]-MOF demonstrates superior AA production (0.1239 mmol h−1 cm−2 at 1.61 V), and maintains this high activity 25 cycles with negligible loss, surpassing all prior high-performance catalysts in durability. Mechanistic studies reveal a three-step oxidation pathway via cyclohexanone, 2-hydroxycyclohexanone, and 6-hydroxyadipic acid. DFT calculations indicate the MOF framework enhances the charge density at the active [Ni9] site, accelerating reaction kinetics. This work not only provides a rational design strategy for constructing highly stable MOFs, but also presents the first MOF-based electrocatalyst for AA synthesis, opening new avenues for sustainable chemical production under mild conditions.",rss_oup,,MOF中超耐碱[Ni36]纳米笼催化高可回收高效电催化合成己二酸,作为一种关键的工业化学品，己二酸 (AA) 可以通过在环境条件下利用电子作为清洁氧化剂对环己醇进行电催化氧化来合成。这种方法规避了传统石化工艺的能源密集型和对环境有害的性质，从而为 AA 生产提供了可持续的替代方案。然而，现有的电催化剂经常受到碱性介质中不稳定的困扰，并且它们的结构-活性关系仍然知之甚少。在这里，我们报告了一种新型的基于[Ni36]纳米笼的金属有机框架（[Ni9]-MOF），通过自下而上的策略从离散的[Ni9]簇合成，在强碱性（8 M NaOH）和酸性（1 M HCl）条件下表现出优异的稳定性。 [Ni9]-MOF 表现出优异的 AA 产量（1.61 V 下为 0.1239 mmol h−1 cm−2），并在 25 个循环中保持这种高活性，损失可以忽略不计，在耐久性方面超越了所有现有的高性能催化剂。机理研究揭示了通过环己酮、2-羟基环己酮和6-羟基己二酸的三步氧化途径。 DFT 计算表明 MOF 框架增强了活性 [Ni9] 位点的电荷密度，从而加速了反应动力学。这项工作不仅为构建高度稳定的MOF提供了合理的设计策略，而且提出了第一个基于MOF的AA合成电催化剂，为温和条件下可持续化学生产开辟了新途径。,,d6512354f64e787b
Toward trustworthy AI in real-time event-driven power system emergency control: A knowledge-surrogate-guided deep learning approach,https://www.sciencedirect.com/science/article/pii/S0306261926010007?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Mir Nahidul Ambia,,,,,在实时事件驱动的电力系统应急控制中迈向值得信赖的人工智能：知识替代引导的深度学习方法,,,f00049579538a52c
