title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Confinement physical entanglement enables programmable polymeric mesoporous membranes from nanocrystal superlattices,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag323/8698487?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag323,Angang Dong,,"Mesoporous membranes with tunable architectures and robust mechanical properties remain challenging to fabricate, owing to the difficulty of simultaneously achieving structural order and mechanical stability. We report a general strategy to construct programmable polymeric mesoporous membranes by exploiting confined physical entanglement within polymer-grafted nanocrystal (NC) superlattices. Two-dimensional superlattices, self-assembled at the liquid-air interface from size-, shape-, and composition-controlled NCs, serve as structural templates, and thermal annealing activates polymer entanglement to stabilize the superlattice framework. Subsequent selective removal of NC cores yields free-standing, long-range-ordered polymeric mesoporous membranes that exhibit remarkable specific moduli and deformability. Importantly, this approach enables independent control over pore size, wall thickness, and pore symmetry, offering precise structural programmability beyond conventional templating methods. This strategy is compatible with a wide range of building blocks and binary superlattice configurations, enabling the rational design of mechanically robust mesoporous membranes with hierarchical structural order.",rss_oup
"Harnessing low-grade thermal energy via thermally regenerative electrochemical cycle: critical insights, performance optimization strategies, and cross-domain applications",https://www.sciencedirect.com/science/article/pii/S0306261926007476?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Dongxing Huo,,,
The positive effect of monetary social reciprocity on energy poverty reduction in rural Chinese households,https://www.sciencedirect.com/science/article/pii/S0301421526003095?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Zhiwen Li,,,
CryoWriter: a robotic solution for improved Cryo-EM grid preparation,https://www.nature.com/articles/s41467-026-73752-3,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73752-3,Massimo Kube,,"Cryo-electron microscopy (cryo-EM) structure determination relies on preparing thin, vitreous films of sample solution on EM grids. Cryo-EM is a mature technology, but preparing the grids remains a major bottleneck. Here, we evaluate the cryoWriter, a blotting-free, microfluidic grid-preparation robot that writes nanoliter volumes onto EM grids in a controlled environment. Using capillary-writing in spiral or line patterns, we prepared high-quality grids from minimal sample volumes and obtained near-atomic reconstructions for test specimens, including TMV, apoferritin, and the membrane protein TRPM4. We further demonstrate programmable deposition modes, such as writing the sample twice to boost particle density, or two-line writing for on-grid mixing to visualize time-resolved protein–ligand binding. In a challenging case (NrS-1 DNA polymerase), the cryoWriter grids exhibited reduced orientation bias relative to conventional blotting, enabling a more isotropic reconstruction. These results show that the cryoWriter provides a versatile platform for reproducible low volume cryo-EM grid preparation and for on-grid biochemical workflows.",nature_html
"Green illusions, enduring poverty: How geopolitical fragmentation fuels greenwashing and derails the just energy transition in the global South",https://www.sciencedirect.com/science/article/pii/S0301421526003034?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Ping Chen,,,
"Applications of performance prediction, design optimization, and operational control using artificial intelligence for organic Rankine cycle: A review",https://www.sciencedirect.com/science/article/pii/S0306261926007245?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Saverio Ottaviano,,,
Tectonic and climatic implications of the Aleutian Arc initiation ≥56 million years ago,https://www.nature.com/articles/s41467-026-73363-y,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73363-y,B. Baranov,,"The timing and origin of Aleutian subduction initiation remain poorly constrained, yet they are central to understanding late Paleocene to early Eocene plate tectonic reorganization in the Pacific and its possible climatic consequences. Here, we use geochronologic and geochemical data obtained on western Aleutian arc samples from four basal submarine sequences, spanning ~700 km, to constrain Aleutian subduction initiation to ≥56 Ma. Early forearc lavas have similar compositions to forearc basalts erupted during the initial stages of Izu-Bonin-Mariana subduction in the western Pacific. Collision of the Olyutorsky Arc with Kamchatka-Koryak margin and subduction of the Izanagi-Pacific Ridge are likely to have triggered Aleutian subduction initiation and a change in absolute Pacific plate motion from WNW to N between 57 and 55 Ma, as shown with a GPlates model. Our study shows that Aleutian subduction initiation is a key event at the beginning of a major ~10 Myr plate reorganization in the circum-Pacific ending with Hawaii-Emperor-Bend formation. These tectono-magmatic events may have contributed to contemporaneous global climatic events in the late Paleocene and early Eocene.",nature_html
The trade route to renewables: Import as a catalyst for the diffusion of renewable energy technology,https://www.sciencedirect.com/science/article/pii/S0301421526003241?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Faisal Quaiyyum,,,
Supercurrent effect in a charge density wave intertwined superconductor,https://www.nature.com/articles/s41467-026-73778-7,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73778-7,Jinfeng Jia,,"The energy-momentum (E-k) dispersion of quasiparticles constitutes a fundamental concept in condensed matter systems. The ability to modify the E-k dispersion, exemplified by supercurrent-induced Doppler shifts of Bogoliubov quasiparticle spectra in superconductors, enables manipulation of various emergent quantum properties. However, investigations into the supercurrent effect on superconductors intertwined with charge orders remain scarce. Here, we report that the Meissner current, generated by the diamagnetic response to an applied in-plane magnetic field, can tailor Bogoliubov quasiparticle excitations at the precursor charge density wave (CDW) vectors. Our scanning tunneling spectroscopic imaging reveals a field-driven symmetry breaking of CDW modulations, specifically a C3v-to-Cs transition, in superconducting NbSe2. Model calculations suggest that the observed anisotropy originates from a selective Doppler-shift-induced E-k dispersion reconstruction. Furthermore, altering the field direction enables on-demand tuning of anisotropic CDW modulations and visualization of their momentum-space distribution. These results highlight a novel mechanism for controlling emergent electronic phases through momentum-space engineering.",nature_html
Au and Ti closer in TS-1 zeolite for enhancing activity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag310/8698473?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag310,Bao-Lian Su,,,
