title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Geopolitical conflict and firms’ energy transition: A quasi-natural experiment from the Russia–Ukraine conflict,https://www.sciencedirect.com/science/article/pii/S0301421526004258?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-07-18 00:00:00+00:00,,Dongyang Zhang,,,
Effect of macrobubbles motion behavior on cell voltage in a zero-gap alkaline water electrolysis cell,https://www.sciencedirect.com/science/article/pii/S030626192601127X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Chunjiang Liu,,,
Resilient hierarchical control strategy for digital twin cloud-edge collaboration in multi-energy microgrids under non-ideal communication conditions,https://www.sciencedirect.com/science/article/pii/S0306261926010287?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Jianguo Zhu,,,
Sustainable energy transition for BIMP regional power grid with technology ranking and optimal mix,https://www.sciencedirect.com/science/article/pii/S0306261926011190?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Muhammad Ilham Rizaldi,,,
Uncertainty-aware multi-fault diagnosis in gas turbines via graph neural networks and weighted total least squares,https://www.sciencedirect.com/science/article/pii/S030626192601069X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Kai Cao,,,
Resolving Abrikosov vortex entry in superconducting nanostring resonators via displacement-noise spectroscopy in cavity optomechanics,https://www.nature.com/articles/s41467-026-75676-4,,Physical sciences : Nature Communications subject feeds,2026-07-18 00:00:00+00:00,,Hans Huebl,,"Abrikosov vortices in type-II superconductors influence current flow, dissipation and coherence, thereby limiting superconducting quantum technologies. In mesoscopic circuit elements, the entry and pinning of a single vortex can shift resonant frequencies, redistribute flux and degrade device performance. Here, we use a flux-mediated cavity-optomechanical platform, in which a suspended superconducting aluminum nanostring forms one arm of a SQUID terminating a microwave resonator, to investigate vortex-entry processes through nanomechanical elastic signatures. Operating at T ≈ 85 mK with 0.25 mT in-plane-field resolution, we resolve discrete jumps of the mechanical resonance frequency consistent with the stochastic entry of one or a few singly quantized Abrikosov vortices. Their field positions vary between thermal cycles, indicating disorder-mediated nucleation through a quenched pinning landscape. These events are superimposed on a smooth power-law stiffening background identified with the collective Campbell–Labusch elastic response. Recasting the jumps as equivalent force signatures yields attonewton-scale forces and, within a single-event pinning model, characteristic vortex-pinning energies of 0.09 − 0.44 eV. The smooth background gives a collective Labusch parameter of order 1014 N m−4. Our results establish cavity-optomechanical sensing as an in situ probe of vortex matter and identify vortex entry as a quantitative design constraint for flux-mediated superconducting quantum circuits.",nature_html
An improved imagentime framework for hourly multi-site photovoltaic power scenario generation,https://www.sciencedirect.com/science/article/pii/S0306261926011207?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Xueqian Fu,,,
Technology indicators enable early detection of decarbonization failures,https://www.sciencedirect.com/science/article/pii/S0306261926011049?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Klaus Keller,,,
Engineering microbial consortia for distributed signal processing,https://www.nature.com/articles/s41467-026-75739-6,,Physical sciences : Nature Communications subject feeds,2026-07-18 00:00:00+00:00,,Lingchong You,,"A central goal in biology is to infer input signals from measurable readouts. Engineered biosensors are usually built to respond selectively to single inputs, so crosstalk between sensors must be removed through laborious, context-specific orthogonalization. Here we show that multiplexed concentrations can be inferred without eliminating crosstalk. We distribute sensing across a microbial community and decode its time-resolved collective response, which can disambiguate combinations of chemical inputs even when individual sensors show crosstalk or respond indirectly. A computational framework coupling kinetic modeling with machine learning maps these community dynamics to input concentrations. We demonstrate quantitative inference in communities with low or high sensor crosstalk, in communities that respond only indirectly to antibiotic combinations, and in pooled hospital sink water spiked with target analytes. By tolerating non-orthogonal, cross-reactive, and indirect responses, distributed dynamic sensing broadens the range of biological systems usable for multiplexed measurement, wherever input combinations produce reproducible, distinguishable response trajectories.",nature_html
Refractory inclusions in Bennu samples indicative of outer Solar System accretion,https://www.nature.com/articles/s41467-026-73868-6,,Earth and environmental sciences : Nature Communications subject feeds,2026-07-18 00:00:00+00:00,,Dante S. Lauretta,,"NASA’s OSIRIS-REx mission returned material from the carbonaceous asteroid Bennu, which is dominated by aqueous-alteration products but preserves rare high-temperature components. Here we present an integrated petrographic, oxygen-isotopic and 26Al–26Mg chronological characterization of refractory inclusions in Bennu samples. All identified inclusions are small (26Al–26Mg systematics demonstrate formation during the earliest stage of Solar System evolution and genetic affinity with refractory inclusions in asteroid Ryugu samples and chondritic meteorites. The shared refractory-inclusion signatures across diverse chondritic materials are consistent with widespread outward transport and mixing of early-formed inner-disk solids. In Bennu samples analyzed thus far, large (>submillimeter) refractory inclusions are absent, in contrast to most carbonaceous chondrites. This size distribution implies that Bennu’s constituents accreted in the outer Solar System beyond the pressure bump associated with proto-Jupiter, which effectively filtered distinct dust populations.",nature_html
Planning alternatives under divergent futures: Linking transformative scenario design with bottom-up modelling and distributional impact assessment to quantify inequalities in electricity affordability,https://www.sciencedirect.com/science/article/pii/S0306261926011050?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Alexandros Flamos,,,
